"CD_MUN","year","deforestation","freq","terra","trabalhoescravo","embargoes","perc_area","consolidated","consolidated_sa"
1300508,"2022",0.00288204695627724,0,0,0,0,0.33232628170088,0.000576409391255448,0.000576409391255448
1300607,"2021",0.000309292844088289,0,0,0,0,0,0.0000773232110220723,0.0000773232110220723
1300607,"2022",0.000210881484605652,0,0.0232558139534884,0,0,0.90649753770003,0.0046933390876188,0.0046933390876188
1300631,"2021",0.0079291438211725,0,0,0,0,0,0.00198228595529313,0.00198228595529313
1300631,"2022",0.0106003092928441,0,0,0,0,0.809983590917286,0.00212006185856882,0.00212006185856882
1300680,"2021",0.00106846618866863,0,0,0,0,0,0.000267116547167159,0.000267116547167159
1300680,"2022",0.00129340643891466,0,0,0,0,0.000130880273114947,0.000258681287782933,0.000258681287782933
1300706,"2021",0.241459299873471,0,0.604651162790698,0,0,0,0.211527615666042,0.211527615666042
1300706,"2022",0.298917475045691,0,0.697674418604651,0,0.0484330484330484,0.425471693731321,0.209004988416678,0.209004988416678
1300805,"2021",0.0267397722479966,0,0,0,0,0,0.00668494306199916,0.00668494306199916
1300805,"2022",0.0531843104175453,0,0,0,0.00854700854700855,0.845500665047495,0.0123462637929108,0.0123462637929108
1300839,"2021",0.00212287361169689,0,0,0,0,0,0.000530718402924223,0.000530718402924223
1300839,"2022",0.00251651904962744,0,0,0,0,0.0314609133736239,0.000503303809925489,0.000503303809925489
1300904,"2021",0.168311542246591,0,0.0232558139534884,0,0,0,0.0478918390500198,0.0478918390500198
1300904,"2022",0.273991283565303,0,0.116279069767442,0,0.236467236467236,0.743098691038589,0.125347517959996,0.125347517959996
1301001,"2021",0.00208069731477576,0,0,0,0,0,0.000520174328693941,0.000520174328693941
1301001,"2022",0.000590468156895825,0,0.0232558139534884,0,0,0.645066180932011,0.00476925642207684,0.00476925642207684
1301100,"2021",0.00875861099395473,0,0,0,0,0,0.00218965274848868,0.00218965274848868
1301100,"2022",0.00805567271193589,0,0,0,0,0.233462909706977,0.00161113454238718,0.00161113454238718
1301159,"2021",0.0268241248418389,0,0.0232558139534884,0,0,0,0.0125199846988318,0.0125199846988318
1301159,"2022",0.0196822718965275,0,0,0,0,0.0810908912809538,0.0039364543793055,0.0039364543793055
1301209,"2021",0.00761985097708421,0,0,0,0,0,0.00190496274427105,0.00190496274427105
1301209,"2022",0.00382398425418248,0,0,0,0,0.0853058493826104,0.000764796850836497,0.000764796850836497
1301308,"2021",0.00160269928300295,0,0,0,0,0,0.000400674820750738,0.000400674820750738
1301308,"2022",0.00172922817376634,0,0,0,0,0.117943972672752,0.000345845634753269,0.000345845634753269
1301407,"2021",0.0055110361310277,0,0.0232558139534884,0,0,0,0.00719171252112902,0.00719171252112902
1301407,"2022",0.00258681287782933,0,0.0465116279069767,0,0.00284900284900285,0.64005433435339,0.0103894887267618,0.0103894887267618
1301506,"2021",0.0175453395191902,0,0,0,0,0,0.00438633487979755,0.00438633487979755
1301506,"2022",0.0263601855757065,0,0,0,0,0.105483825523711,0.00527203711514129,0.00527203711514129
1301605,"2021",0.000506115563053564,0,0,0,0,0,0.000126528890763391,0.000126528890763391
1301605,"2022",0.000112470125123014,0,0,0,0.0056980056980057,0.641094962040635,0.00116209516462574,0.00116209516462574
1301654,"2021",0.0314213412062421,0,0,0,0,0,0.00785533530156052,0.00785533530156052
1301654,"2022",0.0406298327006889,0,0,0,0,0.047779785575484,0.00812596654013778,0.00812596654013778
1301704,"2021",0.270982707718262,0,0.0697674418604651,0,0,0,0.0851875373946819,0.0851875373946819
1301704,"2022",0.229537466610432,0.166666666666667,0.0465116279069767,0,0.735042735042735,0.695573329198678,0.235551699245362,0.235551699245362
1301803,"2021",0.0187965696611837,0,0,0,0,0,0.00469914241529594,0.00469914241529594
1301803,"2022",0.0204273864754675,0,0,0,0,0.433609304093336,0.00408547729509349,0.00408547729509349
1301852,"2021",0.00149022915787994,0,0.0465116279069767,0,0,0,0.0120004642662142,0.0120004642662142
1301852,"2022",0.000548291859974694,0,0.186046511627907,0,0,0.429014002980334,0.0373189606975763,0.0373189606975763
1301902,"2021",0.0231266694784198,0.0833333333333333,0.0465116279069767,0,0,0,0.0382429076796825,0.0382429076796825
1301902,"2022",0.0213271474764516,0,0.162790697674419,0,0,0.145396934627874,0.036823569030174,0.036823569030174
1301951,"2021",0.00147617039223956,0,0,0,0,0,0.00036904259805989,0.00036904259805989
1301951,"2022",0.00240404892450443,0,0.0232558139534884,0,0,0.603845189688064,0.00513197257559856,0.00513197257559856
1302009,"2021",0.00209475608041614,0,0,0,0,0,0.000523689020104035,0.000523689020104035
1302009,"2022",0.00229157879938141,0,0,0,0,0.400778516394114,0.000458315759876283,0.000458315759876283
1302108,"2021",0.000295234078447912,0,0,0,0,0,0.0000738085196119781,0.0000738085196119781
1302108,"2022",0.00262898917475046,0,0.0232558139534884,0,0,0.476337390333529,0.00517696062564777,0.00517696062564777
1302207,"2021",0.000646703219457332,0,0,0,0,0,0.000161675804864333,0.000161675804864333
1302207,"2022",0.000295234078447912,0,0,0,0,0.223688939955117,0.0000590468156895825,0.0000590468156895825
1302306,"2021",0.0019963447209335,0,0,0,0,0,0.000499086180233375,0.000499086180233375
1302306,"2022",0.00178546323632785,0,0,0,0,0.672658115895058,0.00035709264726557,0.00035709264726557
1302405,"2021",0.758976521861381,0,0.209302325581395,0,0,0,0.242069711860694,0.242069711860694
1302405,"2022",0.877548151272318,0,0.0930232558139535,0,0.41025641025641,0.752355808153489,0.276165563468536,0.276165563468536
1302504,"2021",0.00544074230282581,0,0,0,0,0,0.00136018557570645,0.00136018557570645
1302504,"2022",0.00380992548854211,0,0,0,0,0.459698173147032,0.000761985097708421,0.000761985097708421
1302553,"2021",0.00248840151834669,0,0,0,0,0,0.000622100379586672,0.000622100379586672
1302553,"2022",0.00223534373681991,0,0,0,0,0.517010386209261,0.000447068747363981,0.000447068747363981
1302603,"2021",0.00701532405454801,0,0.0465116279069767,0,0,0,0.0133817379903812,0.0133817379903812
1302603,"2022",0.00537044847462393,0,0.116279069767442,0,0.0911680911680912,0.360694967724369,0.0425635218820314,0.0425635218820314
1302702,"2021",0.198228595529313,0,0.0232558139534884,0,0,0,0.0553711023707002,0.0553711023707002
1302702,"2022",0.307858849992971,0.0833333333333333,0.162790697674419,0,0.0313390313390313,0.547618652613587,0.117064382467951,0.117064382467951
1302801,"2021",0.00177140447068747,0,0,0,0,0,0.000442851117671868,0.000442851117671868
1302801,"2022",0.00116687754815127,0,0,0,0,0.678030620517705,0.000233375509630254,0.000233375509630254
1302900,"2021",0.0912835653029664,0,0.0232558139534884,0,0,0,0.0286348448141137,0.0286348448141137
1302900,"2022",0.142274708280613,0,0.0465116279069767,0,0.0740740740740741,0.79655721000244,0.0525720820523328,0.0525720820523328
1303007,"2021",0.00955996063545621,0,0,0,0,0,0.00238999015886405,0.00238999015886405
1303007,"2022",0.00957401940109658,0,0.0232558139534884,0,0,0.385190831804664,0.00656596667091699,0.00656596667091699
1303106,"2021",0.00906790383804302,0.0833333333333333,0.0232558139534884,0,0,0,0.0289142627812162,0.0289142627812162
1303106,"2022",0.0136229439055251,0,0.0465116279069767,0,0,0.800740216870547,0.0120269143625004,0.0120269143625004
1303205,"2021",0.000773232110220723,0,0,0,0,0,0.000193308027555181,0.000193308027555181
1303205,"2022",0.000941937297905244,0,0.209302325581395,0,0,0.75334727908251,0.0420488525758601,0.0420488525758601
1303304,"2021",0.24515675523689,0,0,0.0240963855421687,0,0,0.0673132851947647,0.0673132851947647
1303304,"2022",0.420455504006748,0,0,0,0.125356125356125,0.705935260995629,0.109162325872575,0.109162325872575
1303403,"2021",0.00469562772388584,0.0833333333333333,0.0232558139534884,0,0,0,0.0278211937526769,0.0278211937526769
1303403,"2022",0.00312104597216364,0,0.0232558139534884,0,0.00284900284900285,0.181647006798874,0.00584517255493097,0.00584517255493097
1303502,"2021",0.0387740756361591,0,0.0232558139534884,0,0,0,0.0155074723974119,0.0155074723974119
1303502,"2022",0.0380570785884999,0,0,0,0,0.373312262795419,0.00761141571769999,0.00761141571769999
1303536,"2021",0.0159145227049065,0,0.0232558139534884,0,0,0,0.00979258416459872,0.00979258416459872
1303536,"2022",0.0131449458737523,0.0833333333333333,0.348837209302326,0,0,0.538850020042948,0.0890630977018822,0.0890630977018822
1303569,"2021",0.00309292844088289,0,0,0,0,0,0.000773232110220723,0.000773232110220723
1303569,"2022",0.00189793336145086,0,0.0232558139534884,0,0.00284900284900285,0.103156031383156,0.00560055003278842,0.00560055003278842
1303601,"2021",0.000449880500492057,0.0833333333333333,0,0,0,0,0.0209458034584563,0.0209458034584563
