Ano,Regiao,Uf Sigla,Municipio Primario,Nome Conflito,Data,Numero De Pessoas,Tipo De Violencia,Categoria Causou Acao,Categoria Sofreu Acao,Categoria Vitima Violencia,Eixos De Violencia,Genero,Idade,Identidade De Genero,Orientacao Sexual,Raca Cor,Municipios Vitima,Lugar
2017,Centro-Oeste,MT,Colniza (MT),Área da Cooper-Roosevelt/Taquaruçu do Norte,04/19/2017,1,Assassinato,Madeireiro,Posseiro,Posseiro,Terra,M - Masculino,23,,,,Colniza (MT),P.A. Taquaruçu do Norte
2017,Centro-Oeste,MT,Colniza (MT),Área da Cooper-Roosevelt/Taquaruçu do Norte,04/19/2017,1,Assassinato,Madeireiro,Posseiro,Posseiro,Terra,M - Masculino,37,,,,Colniza (MT),P.A. Taquaruçu do Norte
2017,Centro-Oeste,MT,Colniza (MT),Área da Cooper-Roosevelt/Taquaruçu do Norte,04/19/2017,1,Assassinato,Madeireiro,Posseiro,Posseiro,Terra,M - Masculino,26,,,,Colniza (MT),P.A. Taquaruçu do Norte
2017,Centro-Oeste,MT,Colniza (MT),Área da Cooper-Roosevelt/Taquaruçu do Norte,04/19/2017,1,Assassinato,Madeireiro,Posseiro,Posseiro,Terra,M - Masculino,56,,,,Colniza (MT),P.A. Taquaruçu do Norte
2017,Centro-Oeste,MT,Colniza (MT),Área da Cooper-Roosevelt/Taquaruçu do Norte,04/19/2017,1,Assassinato,Madeireiro,Posseiro,Posseiro,Terra,M - Masculino,55,,,,Colniza (MT),P.A. Taquaruçu do Norte
2017,Centro-Oeste,MT,Colniza (MT),Área da Cooper-Roosevelt/Taquaruçu do Norte,04/19/2017,1,Assassinato,Madeireiro,Posseiro,Posseiro,Terra,M - Masculino,32,,,,Colniza (MT),P.A. Taquaruçu do Norte
2017,Centro-Oeste,MT,Colniza (MT),Área da Cooper-Roosevelt/Taquaruçu do Norte,04/19/2017,1,Assassinato,Madeireiro,Posseiro,Posseiro,Terra,M - Masculino,50,,,,Colniza (MT),P.A. Taquaruçu do Norte
2017,Centro-Oeste,MT,Colniza (MT),Área da Cooper-Roosevelt/Taquaruçu do Norte,04/19/2017,1,Assassinato,Madeireiro,Posseiro,Posseiro,Terra,M - Masculino,50,,,,Colniza (MT),P.A. Taquaruçu do Norte
2017,Centro-Oeste,MT,Colniza (MT),Área da Cooper-Roosevelt/Taquaruçu do Norte,04/19/2017,1,Assassinato,Madeireiro,Posseiro,Posseiro,Terra,M - Masculino,57,,,,Colniza (MT),P.A. Taquaruçu do Norte
2017,Centro-Oeste,MT,Comodoro (MT),Faz. Igarapé Preto/Acamp. Igarapé Preto,03/26/2017,1,Detenção,Empresário,Sem Terra,Sem Terra,Terra,M - Masculino,,,,,Comodoro (MT),Proximidades do Acamp. Igarapé Preto-Cabixi-RO
2017,Centro-Oeste,MT,Comodoro (MT),Faz. Igarapé Preto/Acamp. Igarapé Preto,03/26/2017,1,Detenção,Empresário,Sem Terra,Sem Terra,Terra,M - Masculino,,,,,Comodoro (MT),Proximidades do Acamp. Igarapé Preto-Cabixi-RO
2017,Centro-Oeste,MT,Comodoro (MT),Faz. Igarapé Preto/Acamp. Igarapé Preto,03/26/2017,1,Detenção,Empresário,Sem Terra,Sem Terra,Terra,M - Masculino,M,,,,Comodoro (MT),Proximidades do Acamp. Igarapé Preto-Cabixi-RO
2017,Centro-Oeste,MT,Comodoro (MT),Faz. Igarapé Preto/Acamp. Igarapé Preto,03/26/2017,1,Detenção,Empresário,Sem Terra,Sem Terra,Terra,M - Masculino,A,,,,Comodoro (MT),Proximidades do Acamp. Igarapé Preto-Cabixi-RO
2017,Centro-Oeste,MT,Juara (MT),Ameaça a Maria Aparecida Teles de Brito,06/30/2017,1,Ameaça de Morte,Fazendeiro,Sindicalista,Sindicalista,Terra,F -  Feminino,A,,,,Juara (MT),Município de Juara
