Ano,Regiao,Uf Sigla,Municipio Primario,Nome Conflito,Categoria Causou Acao,Categoria Sofreu Acao,Situacao Conflito Agua,Tipo Conflito Agua,Tipo De Violencia
2018,Nordeste,BA,Pindaí (BA),Com. Tábuas/Projeto Pedra de Ferro/Bamin,Mineradora,Geraizeiro,Diminuição do acesso à Água,Apropriação Particular,Danos
2018,Nordeste,BA,Salvador (BA),Território Quil. da Ilha de Maré/Porto de Aratu,Empresário,Pescador,Destruição e ou poluição,Uso e preservação,
2018,Nordeste,BA,Wagner (BA),Assentamento São Sebastião ,Fazendeiro,Assentado,Diminuição do acesso à Água,Apropriação Particular,
2018,Nordeste,PB,Conde (PB),Com. Quil. de Mituaçu/Contaminação Rio Gramame,Governo estadual,Quilombola,Destruição e ou poluição,Uso e preservação,Impedimento do exercício profissional
2018,Nordeste,PB,João Pessoa (PB),Com. de Pesc. do Engenho Velho/Contaminação Rio Gramame,Governo estadual,Pescador,Destruição e ou poluição,Uso e preservação,Impedimento do exercício profissional
2018,Nordeste,PE,Cabo de Santo Agostinho (PE),Praia do Paiva/Colônia Z-8/Comp. Suape/PAC,Empresário,Pescador,Destruição e ou poluição,Uso e preservação,
2018,Nordeste,PE,Ipojuca (PE),Ilha de Tatuoca/Complexo Suape/PAC,Empresário,Pescador,Reassentamento inadequado,Uso e preservação,Danos
2018,Nordeste,PI,Barras (PI),Assent. Lembrada/Rio Marataoan/Barragem do Bezerro,Hidrelétrica,Ribeirinho,Desconstrução do histórico-cultural,Barragens e Açudes,
2018,Nordeste,PI,Barras (PI),Com. Assaí/Rio Marataoan/Barragem do Bezerro,Hidrelétrica,Ribeirinho,Desconstrução do histórico-cultural,Barragens e Açudes,
2018,Nordeste,PI,Barras (PI),Com. Jenipapeiro/Rio Marataoan/Barragem do Bezerro,Hidrelétrica,Ribeirinho,Desconstrução do histórico-cultural,Barragens e Açudes,
2018,Nordeste,PI,Barras (PI),Com. Lagoa de Dentro/Rio Marataoan/Barragem do Bezerro,Hidrelétrica,Ribeirinho,Desconstrução do histórico-cultural,Barragens e Açudes,
2018,Nordeste,PI,Barras (PI),Com. Malicial/Rio Marataoan/Barragem do Bezerro,Hidrelétrica,Ribeirinho,Desconstrução do histórico-cultural,Barragens e Açudes,
2018,Nordeste,PI,Barras (PI),Com. São Fernandes/Rio Marataoan/Barragem do Bezerro,Hidrelétrica,Ribeirinho,Desconstrução do histórico-cultural,Barragens e Açudes,
2018,Nordeste,PI,Barras (PI),Com. Simpatia/Rio Marataoan/Barragem do Bezerro,Hidrelétrica,Ribeirinho,Desconstrução do histórico-cultural,Barragens e Açudes,
2018,Nordeste,PI,Santa Filomena (PI),Barra da Lagoa ,Fazendeiro,Posseiro,Destruição e ou poluição,Uso e preservação,
2018,Nordeste,PI,São João do Arraial (PI),Com. dos Cocais/Açude Sta Rosa,Fazendeiro,Quebradeiras de coco babaçu,Diminuição do acesso à Água,Uso e preservação,Tentativa de Assassinato
2018,Nordeste,SE,Aracaju (SE),Com. Boca do Rio/Farolândia,Empresário,Pescador,Destruição e ou poluição,Apropriação Particular,
2018,Nordeste,SE,Aracaju (SE),Comunidade Atalaia Velha,Empresário,Pescador,Destruição e ou poluição,Apropriação Particular,
2018,Nordeste,SE,Aracaju (SE),Comunidade Mosqueiro/Vazamento de Óleo,Empresário,Pescador,Destruição e ou poluição,Apropriação Particular,
2018,Nordeste,SE,Barra dos Coqueiros (SE),Com. Atalaia Nova/Vazamento de Óleo,Empresário,Pescador,Destruição e ou poluição,Apropriação Particular,
2018,Nordeste,SE,Barra dos Coqueiros (SE),Com. Pontal/Vazamento de Óleo,Empresário,Pescador,Destruição e ou poluição,Apropriação Particular,
2018,Nordeste,SE,Barra dos Coqueiros (SE),Povoado Capuã,Empresário,Pescador,Destruição e ou poluição,Apropriação Particular,
2018,Nordeste,SE,Barra dos Coqueiros (SE),Povoado Jatobá/Vazamento de Óleo,Empresário,Pescador,Destruição e ou poluição,Apropriação Particular,
2018,Nordeste,SE,Barra dos Coqueiros (SE),Povoado Touro ,Empresário,Pescador,Destruição e ou poluição,Apropriação Particular,Danos
2018,Nordeste,SE,Brejo Grande (SE),Com. Quilombola Brejão dos Negros,Empresário,Pescador,Destruição e ou poluição,Apropriação Particular,
2018,Nordeste,SE,Brejo Grande (SE),Comunidade Resina,Empresário,Pescador,Destruição e ou poluição,Apropriação Particular,
2018,Nordeste,SE,Brejo Grande (SE),Pov. Samarém/Saramém,Empresário,Pescador,Destruição e ou poluição,Apropriação Particular,
